証券コード	業種	会社名	平均年収	従業員数	平均年齢	平均勤続年数	情報公開日
1951	建設業	協和エクシオ	"6,998,000 "	"3,974 "	41.0 	15.7 	2010/6/23
1952	建設業	新日本空調	"7,449,251 "	967 	41.6 	16.5 	2010/6/25
1953	上場廃止	国際電設	"5,529,282 "	105 	45.6 	16.1 	2005/6/29
1954	サービス業	日本工営	"7,329,535 "	"1,692 "	43.4 	16.4 	2010/6/30
1955	建設業	東電通	"5,446,460 "	"1,024 "	42.7 	17.4 	2010/6/30
1956	建設業	日本電話施設	"6,007,000 "	"1,077 "	44.4 	18.2 	2010/6/29
1957	上場廃止	保安工業	"6,321,000 "	468 	43.8 	14.5 	2008/6/30
1959	建設業	九電工	"6,561,000 "	"5,310 "	41.8 	21.8 	2010/6/30
1960	建設業	サンテック	"5,415,083 "	684 	44.2 	18.6 	2010/6/28
1961	建設業	三機工業	"7,339,462 "	"1,974 "	42.7 	18.8 	2010/6/25
1963	建設業	日揮	"9,429,278 "	"3,089 "	42.8 	14.3 	2010/6/29
1964	建設業	中外炉工業	"8,299,341 "	428 	41.7 	17.2 	2010/6/25
1965	建設業	テクノ菱和	"6,565,000 "	695 	42.3 	16.4 	2010/6/29
1966	建設業	高田工業所	"5,070,620 "	"1,663 "	43.2 	19.6 	2010/6/25
1967	建設業	ヤマト	"5,238,635 "	494 	40.9 	16.2 	2010/6/16
1968	建設業	太平電業	"6,163,000 "	"1,578 "	39.7 	14.5 	2010/6/29
1969	建設業	高砂熱学工業	"8,554,722 "	"1,770 "	42.2 	18.7 	2010/6/29
1970	上場廃止	日立プラントテクノロジー	"7,761,000 "	"4,852 "	43.0 	19.8 	2010/6/23
1971	金属製品	中央ビルト工業	"5,696,582 "	120 	45.7 	18.3 	2010/6/25
1972	建設業	三晃金属工業	"6,085,752 "	463 	42.8 	19.1 	2010/6/23
1973	建設業	ＮＥＣネッツエスアイ					2010/6/23
1975	建設業	朝日工業社	"7,700,100 "	"1,003 "	44.1 	19.3 	2010/6/29
1976	建設業	明星工業	"5,773,890 "	309 	39.3 	14.6 	2010/6/30
1978	機械	アタカ大機	"6,829,247 "	560 	45.6 	16.3 	2010/6/29
1979	建設業	大気社	"8,057,950 "	"1,424 "	40.8 	18.3 	2010/6/29
1980	建設業	ダイダン	"7,650,255 "	"1,722 "	42.0 	18.4 	2010/6/29
1981	建設業	協和日成	"6,044,280 "	851 	43.1 	16.4 	2010/6/29
1982	建設業	日比谷総合設備	"7,575,575 "	749 	42.2 	17.5 	2010/6/29
1983	建設業	東芝プラントシステム	"8,345,086 "	"3,609 "	43.3 	19.9 	2010/6/24
1984	建設業	三信建設工業	"5,478,929 "	148 	44.7 	17.8 	2010/6/29
1985	建設業	大和電設工業	"5,443,000 "	249 	45.6 	18.6 	2010/6/18
1986	建設業	日商インターライフ	"4,788,900 "	86 	37.6 	10.0 	2010/6/14
1987	建設業	ソルコム	"4,877,000 "	"1,365 "	43.7 	17.7 	2010/3/31
1988	上場廃止	ショーボンド建設	"6,594,193 "	757 	40.8 	13.7 	2007/9/28
1989	建設業	北陸電話工事	"4,552,384 "	573 	45.5 	19.9 	2010/6/29
1990	上場廃止	東邦建	"6,134,000 "	160 	40.0 	18.2 	2009/6/24
1991	上場廃止	ＴＴＧ					2009/7/9
1992	建設業	神田通信機	"4,939,000 "	271 	40.2 	18.1 	2010/6/30
1993	上場廃止	ニッタン	"6,153,000 "	772 	43.4 	18.0 	2005/6/29
1994	建設業	高橋カーテンウォール工業	"4,799,000 "	164 	40.1 	10.2 	2010/3/31
1995	建設業	ＡＳ－ＳＺＫｉ	"5,671,546 "	72 	43.0 	13.2 	2010/6/29
1997	建設業	暁飯島工業	"4,688,581 "	149 	40.3 	15.3 	2009/11/26
1998	上場廃止	日本土建	"5,152,304 "	225 	44.3 	19.7 	2008/9/26
1999	建設業	サイタホールディングス	"4,355,921 "	11 	52.6 	19.3 	2009/9/29
2001	食品業	日本製粉	"7,151,312 "	"1,061 "	39.7 	16.8 	2010/6/29
2002	食品業	日清製粉グループ本社	"9,038,112 "	277 	42.3 	17.9 	2010/6/25
2003	食品業	日東富士製粉	"6,083,628 "	615 	41.5 	18.7 	2010/6/30
2004	食品業	昭和産業	"6,911,158 "	"1,196 "	38.6 	16.6 	2010/6/29
2006	食品業	東福製粉	"4,066,000 "	49 	38.9 	13.9 	2009/12/25
2007	上場廃止	富士製粉	"5,438,608 "	181 	42.7 	20.4 	2005/6/27
2008	食品業	増田製粉所	"5,275,000 "	97 	42.1 	12.6 	2010/6/29
2009	食品業	鳥越製粉	"5,351,136 "	213 	40.8 	16.6 	2010/3/30
2051	上場廃止	日本農産工業	"6,321,000 "	455 	43.2 	17.4 	2009/6/23
2052	食品業	協同飼料	"6,272,000 "	281 	40.6 	16.1 	2010/6/29
2053	食品業	中部飼料	"5,940,908 "	470 	37.0 	12.5 	2010/6/30
2055	食品業	日和産業	"4,730,000 "	299 	44.1 	19.2 	2010/6/29
2056	食品業	日本配合飼料	"5,608,921 "	283 	35.8 	13.7 	2010/6/29
2057	上場廃止	雪印種苗	"6,210,000 "	468 	40.8 	17.7 	2007/9/28
2058	食品業	ヒガシマル	"4,154,000 "	194 	36.3 	9.3 	2010/6/25
2059	食品業	ユニ・チャーム　ペットケア	"7,485,000 "	261 	40.1 	12.4 	2010/6/30
2102	上場廃止	台糖	"6,826,289 "	197 	40.3 	18.7 	2005/6/29
2107	食品業	東洋精糖	"7,011,000 "	64 	40.5 	16.9 	2010/6/18
2108	食品業	日本甜菜製糖	"6,727,512 "	579 	44.1 	21.9 	2010/6/29
2109	食品業	三井製糖	"7,433,436 "	389 	42.2 	19.3 	2010/6/23
2112	食品業	塩水港精糖	"6,826,000 "	52 	43.2 	14.3 	2010/6/28
2113	食品業	新光製糖	"7,073,000 "	66 	44.1 	17.7 	2010/6/24
2114	食品業	フジ日本精糖					2010/6/18
2116	食品業	日新製糖	"6,925,696 "	156 	43.8 	20.9 	2010/6/25
2120	サービス業	ネクスト	"5,596,000 "	470 	30.9 	2.6 	2010/6/24
2121	サービス業	ミクシィ	"6,279,000 "	317 	30.6 	2.4 	2010/6/25
